iter,group,variant,target,issued_target,parse_noise,disturbed,closed_loop,max_retry,attempts_used,set_ok_last,set_fault_last,set_rtt_ms_last,disturb_ok_last,disturb_fault_last,disturb_rtt_ms_last,probe_ok_last,probe_fault_last,probe_value_last,probe_rtt_ms_last,converged,rtt_total_ms
26,G4_m_with_o_no_retry,guarded,0,0,0,0,1,1,1,1,,14.057,,,,1,,0,3.535,1,17.592
27,G4_m_with_o_no_retry,guarded,1,1,0,0,1,1,1,1,,14.166,,,,1,,1,3.590,1,17.755
28,G4_m_with_o_no_retry,guarded,0,0,0,1,1,1,1,1,,14.227,1,,3.662,1,,1,3.703,0,21.593
29,G4_m_with_o_no_retry,guarded,1,1,0,0,1,1,1,1,,14.294,,,,1,,1,3.760,1,18.055
30,G4_m_with_o_no_retry,guarded,0,0,0,0,1,1,1,1,,13.372,,,,1,,0,3.848,1,17.220
31,G4_m_with_o_no_retry,guarded,1,1,0,0,1,1,1,1,,13.384,,,,1,,1,2.854,1,16.238
32,G4_m_with_o_no_retry,guarded,0,0,0,0,1,1,1,1,,13.955,,,,1,,0,3.418,1,17.373
33,G4_m_with_o_no_retry,guarded,1,1,0,0,1,1,1,1,,14.036,,,,1,,1,3.509,1,17.546
34,G4_m_with_o_no_retry,guarded,0,0,0,1,1,1,1,1,,14.060,1,,3.543,1,,1,3.051,0,20.654
35,G4_m_with_o_no_retry,guarded,1,1,0,0,1,1,1,1,,14.165,,,,1,,1,3.606,1,17.771
36,G4_m_with_o_no_retry,guarded,0,0,0,0,1,1,1,1,,14.189,,,,1,,0,3.722,1,17.912
37,G4_m_with_o_no_retry,guarded,1,1,0,0,1,1,1,1,,13.249,,,,1,,1,3.712,1,16.960
38,G4_m_with_o_no_retry,guarded,0,0,0,1,1,1,1,1,,13.758,1,,3.290,1,,1,3.806,0,20.854
